url,type
http://confirm-verify-signin.live,phishing
http://verify-security-now.live,phishing
http://confirm-free-signin.xyz,phishing
https://linkedin.com/products,legitimate
https://wikipedia.org/support,legitimate
http://secure-paypal-account.top,phishing
https://github.com/about,legitimate
https://facebook.com,legitimate
https://twitter.com/support,legitimate
http://verify-verify-now.info,phishing
http://update-secure-wallet.club,phishing
http://banking-winner-verify.top,phishing
https://facebook.com/home,legitimate
https://www.google.com,legitimate
https://wikipedia.org/home,legitimate
http://confirm-update-signin.club,phishing
https://amazon.com/login,legitimate
http://confirm-verify-signin.club,phishing
http://verify-login.info,phishing
http://verify-paypal-now.live,phishing
http://update-winner-wallet.top,phishing
https://apple.com/dashboard,legitimate
https://linkedin.com/home,legitimate
https://wikipedia.org/support,legitimate
https://apple.com,legitimate
http://verify-winner-now.shop,phishing
https://flipkart.com/login,legitimate
http://verify-paypal-now.live,phishing
http://secure-security-account.club,phishing
http://verify-gift-now.top,phishing
http://secure-login-account.info,phishing
http://login-login-security.ru,phishing
https://microsoft.com/login,legitimate
https://github.com,legitimate
http://secure-verify-account.xyz,phishing
http://secure-wallet-account.xyz,phishing
https://twitter.com,legitimate
http://banking-login-verify.tk,phishing
http://free-bonus-gift.club,phishing
https://wikipedia.org/products,legitimate
http://banking-verify-verify.ru,phishing
http://update-signin-wallet.ru,phishing
https://netflix.com/dashboard,legitimate
https://google.com/login,legitimate
https://openai.com/login,legitimate
https://google.com/products,legitimate
http://secure-free-account.shop,phishing
https://wikipedia.org,legitimate
https://netflix.com/home,legitimate
https://wikipedia.org,legitimate
https://wikipedia.org/about,legitimate
https://apple.com/about,legitimate
http://paypal-login-security.club,phishing
https://youtube.com/products,legitimate
https://netflix.com/home,legitimate
https://stackoverflow.com/home,legitimate
http://free-login-gift.tk,phishing
http://verify-secure-now.top,phishing
https://openai.com/login,legitimate
http://free-secure-gift.info,phishing
https://www.microsoft.com,legitimate
https://www.netflix.com,legitimate
https://microsoft.com/products,legitimate
http://secure-verify-account.xyz,phishing
http://paypal-login-security.tk,phishing
http://confirm-winner-signin.xyz,phishing
https://flipkart.com/home,legitimate
https://instagram.com/about,legitimate
https://facebook.com/profile,legitimate
http://confirm-free-signin.ru,phishing
https://stackoverflow.com,legitimate
http://free-confirm-gift.tk,phishing
https://apple.com/about,legitimate
https://www.twitter.com,legitimate
https://microsoft.com/home,legitimate
https://twitter.com/home,legitimate
https://amazon.com,legitimate
http://confirm-gift-signin.ru,phishing
https://github.com/login,legitimate
http://verify-account-now.live,phishing
http://free-signin-gift.club,phishing
https://youtube.com/dashboard,legitimate
https://facebook.com,legitimate
https://flipkart.com/products,legitimate
http://banking-wallet-verify.ru,phishing
https://stackoverflow.com/about,legitimate
http://confirm-security-signin.club,phishing
https://wikipedia.org/dashboard,legitimate
https://www.netflix.com,legitimate
https://openai.com/about,legitimate
https://www.twitter.com,legitimate
http://secure-update-account.info,phishing
https://github.com/products,legitimate
https://youtube.com/about,legitimate
https://facebook.com/login,legitimate
http://verify-paypal-now.tk,phishing
https://stackoverflow.com/support,legitimate
https://facebook.com/login,legitimate
http://confirm-confirm-signin.tk,phishing
http://gift-login-security.top,phishing
http://verify-confirm-now.info,phishing
https://flipkart.com/login,legitimate
https://www.stackoverflow.com,legitimate
http://update-gift-wallet.xyz,phishing
https://twitter.com/profile,legitimate
http://account-login-security.live,phishing
http://update-free-wallet.tk,phishing
https://youtube.com/about,legitimate
http://update-signin-wallet.club,phishing
https://amazon.com/dashboard,legitimate
https://apple.com/dashboard,legitimate
http://verify-free-now.shop,phishing
https://twitter.com/login,legitimate
https://linkedin.com/profile,legitimate
http://free-gift.top,phishing
https://netflix.com/support,legitimate
https://apple.com/home,legitimate
http://confirm-bonus-signin.club,phishing
http://banking-account-verify.info,phishing
https://wikipedia.org/profile,legitimate
https://youtube.com/login,legitimate
https://netflix.com/support,legitimate
https://netflix.com/login,legitimate
https://google.com,legitimate
http://verify-free-now.club,phishing
https://github.com/products,legitimate
https://linkedin.com,legitimate
https://stackoverflow.com/login,legitimate
http://bonus-login-security.live,phishing
https://youtube.com/support,legitimate
http://verify-banking-now.top,phishing
https://apple.com/about,legitimate
https://amazon.com/home,legitimate
http://update-confirm-wallet.xyz,phishing
https://stackoverflow.com,legitimate
https://stackoverflow.com/products,legitimate
http://verify-update-now.xyz,phishing
https://www.instagram.com,legitimate
http://login-account.ru,phishing
https://stackoverflow.com/support,legitimate
https://www.github.com,legitimate
http://banking-bonus-verify.shop,phishing
http://confirm-update-signin.xyz,phishing
https://www.wikipedia.org,legitimate
